Channel Id,Channel Url,Channel Title
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC64UiPJwM_e9AqAd7RiD7JA,http://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out
UC66Ggxy8MHX9DCDohdRYDTA,http://www.youtube.com/channel/UC66Ggxy8MHX9DCDohdRYDTA,Edan Meyer
UC67gfx2Fg7K2NSHqoENVgwA,http://www.youtube.com/channel/UC67gfx2Fg7K2NSHqoENVgwA,Tom Stanton
UC68KSmHePPePCjW4v57VPQg,http://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg,Python Programmer
UC6DhSUKasPbBLCSdPcGBxww,http://www.youtube.com/channel/UC6DhSUKasPbBLCSdPcGBxww,Chronova Engineering
UC6I0KzAD7uFTL1qzxyunkvA,http://www.youtube.com/channel/UC6I0KzAD7uFTL1qzxyunkvA,Blacktail Studio
UC6JRNdTXrSQ-lK-CGFUWrzw,http://www.youtube.com/channel/UC6JRNdTXrSQ-lK-CGFUWrzw,Princeton Online
UC6WdZQhg1wkZJWCmnDiIeOQ,http://www.youtube.com/channel/UC6WdZQhg1wkZJWCmnDiIeOQ,The Tribune
UC6_clxPYNS_BstewLKjyA9g,http://www.youtube.com/channel/UC6_clxPYNS_BstewLKjyA9g,Scientia Plus
UC6fUahKiPDn1-3476TU-ovA,http://www.youtube.com/channel/UC6fUahKiPDn1-3476TU-ovA,Google Open Online Education
UC6jKUaNXSnuW52CxexLcOJg,http://www.youtube.com/channel/UC6jKUaNXSnuW52CxexLcOJg,Through The Web Podcast
UC6m2Ilfps2ETdkY5PJi6nzQ,http://www.youtube.com/channel/UC6m2Ilfps2ETdkY5PJi6nzQ,James' Planets
UC6n8I1UDTKP1IWjQMg6_TwA,http://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M
UC6uKrU_WqJ1R2HMTY3LIx5Q,http://www.youtube.com/channel/UC6uKrU_WqJ1R2HMTY3LIx5Q,Everyday Astronaut
UC6uxTkbcGv5iro2FhKeLkmw,http://www.youtube.com/channel/UC6uxTkbcGv5iro2FhKeLkmw,Blitter Arts
UC6x7GwJxuoABSosgVXDYtTw,http://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw,I Like To Make Stuff
UC6yIV1sKYlkgGKTe0oY5MlQ,http://www.youtube.com/channel/UC6yIV1sKYlkgGKTe0oY5MlQ,تراث المدح الشريف
UC726J5A0LLFRxQ0SZqr2mYQ,http://www.youtube.com/channel/UC726J5A0LLFRxQ0SZqr2mYQ,Curious Droid
UC78Ib99EBhMN3NemVjYm3Ig,http://www.youtube.com/channel/UC78Ib99EBhMN3NemVjYm3Ig,Grant Sanderson
UC7E8-0Ou69hwScPW1_fQApA,http://www.youtube.com/channel/UC7E8-0Ou69hwScPW1_fQApA,Sam Zeloof
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
UC7uJBXcRdGlDlKIyr6ZbjBw,http://www.youtube.com/channel/UC7uJBXcRdGlDlKIyr6ZbjBw,Robert Paz
UC7vVhkEfw4nOGp8TyDk7RcQ,http://www.youtube.com/channel/UC7vVhkEfw4nOGp8TyDk7RcQ,Boston Dynamics
UC8DW2q6yFKPD_zjL8jzUYGA,http://www.youtube.com/channel/UC8DW2q6yFKPD_zjL8jzUYGA,With Hafez Al Mirazi - من واشنطن مع حافظ المرازي
UC8ENHE5xdFSwx71u3fDH5Xw,http://www.youtube.com/channel/UC8ENHE5xdFSwx71u3fDH5Xw,ThePrimeagen
UC8JzxSbxLYzu4XL9jJcMQYQ,http://www.youtube.com/channel/UC8JzxSbxLYzu4XL9jJcMQYQ,Jeel Nostalgia.. نوستالجيا الجيل
UC8VkNBOwvsTlFjoSnNSMmxw,http://www.youtube.com/channel/UC8VkNBOwvsTlFjoSnNSMmxw,Smarter Every Day 2
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC8i-4EpLBXMzekETNXwcZjA,http://www.youtube.com/channel/UC8i-4EpLBXMzekETNXwcZjA,Hyperspace Pirate
UC8tPYnkOKCw87JSJDCR6HCQ,http://www.youtube.com/channel/UC8tPYnkOKCw87JSJDCR6HCQ,Shereen Abdo
UC8zAiZUuUXe-touFVopBbZw,http://www.youtube.com/channel/UC8zAiZUuUXe-touFVopBbZw,Pete Peppers
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UC9GC7dr_V9RWVBIGrdYq0MQ,http://www.youtube.com/channel/UC9GC7dr_V9RWVBIGrdYq0MQ,ether.camp
UC9RM-iSvTu1uPJb8X5yp3EQ,http://www.youtube.com/channel/UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions
UC9_p50tH3WmMslWRWKnM7dQ,http://www.youtube.com/channel/UC9_p50tH3WmMslWRWKnM7dQ,Adam Ragusea
UC9dRb4fbJQIbQ3KHJZF_z0g,http://www.youtube.com/channel/UC9dRb4fbJQIbQ3KHJZF_z0g,Let's Talk Religion
UC9uD-W5zQHQuAVT2GdcLCvg,http://www.youtube.com/channel/UC9uD-W5zQHQuAVT2GdcLCvg,Insider Science
UCAL3JXZSzSm8AlZyD3nQdBA,http://www.youtube.com/channel/UCAL3JXZSzSm8AlZyD3nQdBA,Primitive Technology
UCAYa877cjNLF2PvioR15gxQ,http://www.youtube.com/channel/UCAYa877cjNLF2PvioR15gxQ,ElementalMaker
UCAoxdRk2NLCUJe32XWc5Y3A,http://www.youtube.com/channel/UCAoxdRk2NLCUJe32XWc5Y3A,Belal Fadl بلال فضل
UCAqBlhSc6Vj0T6FY_6qgDuw,http://www.youtube.com/channel/UCAqBlhSc6Vj0T6FY_6qgDuw,Mahmoud Saber - محمود صابر
UCB4HbwBLqKIwRUbAfKlGoDg,http://www.youtube.com/channel/UCB4HbwBLqKIwRUbAfKlGoDg,Alt Shift ZZZ
UCB6PV0cvJpzlcXRG7nz6PpQ,http://www.youtube.com/channel/UCB6PV0cvJpzlcXRG7nz6PpQ,Motherboard
UCBGt4ksgYC-au_J4LVC42bw,http://www.youtube.com/channel/UCBGt4ksgYC-au_J4LVC42bw,LightningOnDemand
UCBNG0osIBAprVcZZ3ic84vw,http://www.youtube.com/channel/UCBNG0osIBAprVcZZ3ic84vw,Jim Browning
UCBNHHEoiSF8pcLgqLKVugOw,http://www.youtube.com/channel/UCBNHHEoiSF8pcLgqLKVugOw,Marcus House
UCBa659QWEk1AI4Tg--mrJ2A,http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCBbnbBWJtwsf0jLGUwX5Q3g,http://www.youtube.com/channel/UCBbnbBWJtwsf0jLGUwX5Q3g,Journey to the Microcosmos
UCBfHFPvD7cmJ6DKNH2w_g4A,http://www.youtube.com/channel/UCBfHFPvD7cmJ6DKNH2w_g4A,Lina Sleibi لينا صليبي (Official)
UCBjr2QgkUNToRbwVecMgX3Q,http://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,AiTelly
UCBrWZAtEBd-iG8pz43G6NYw,http://www.youtube.com/channel/UCBrWZAtEBd-iG8pz43G6NYw,أرشيف أغانى الضمة و السمسمية البورسعيدى
UCCKdRWoYnNMi5XKxnmcjawg,http://www.youtube.com/channel/UCCKdRWoYnNMi5XKxnmcjawg,Bradley Whistance
UCCODtTcd5M1JavPCOr_Uydg,http://www.youtube.com/channel/UCCODtTcd5M1JavPCOr_Uydg,Extra History
UCCSY1Upn8fpLUDKVnyrcFxw,http://www.youtube.com/channel/UCCSY1Upn8fpLUDKVnyrcFxw,raniashaalan
UCCWeRTgd79JL0ilH0ZywSJA,http://www.youtube.com/channel/UCCWeRTgd79JL0ilH0ZywSJA,AlphaPhoenix
UCD45RRUnBY9ePhH__szOZlg,http://www.youtube.com/channel/UCD45RRUnBY9ePhH__szOZlg,kvechannel
UCD80T1s2Za4K682CQDGwEKQ,http://www.youtube.com/channel/UCD80T1s2Za4K682CQDGwEKQ,Wristwatch Revival
UCDRIjKy6eZOvKtOELtTdeUA,http://www.youtube.com/channel/UCDRIjKy6eZOvKtOELtTdeUA,Breaking Points
UCDRZWhedLhwllnac-RBxvyw,http://www.youtube.com/channel/UCDRZWhedLhwllnac-RBxvyw,John Downer Productions
UCD_07RND-rGfC7xb-xNFY7Q,http://www.youtube.com/channel/UCD_07RND-rGfC7xb-xNFY7Q,Digital Currency Group
UCDqov5THnmr0KX3f1FeK0Uw,http://www.youtube.com/channel/UCDqov5THnmr0KX3f1FeK0Uw,Predictable Designs
UCEAT5_8xyABzLOkHZlLr7IQ,http://www.youtube.com/channel/UCEAT5_8xyABzLOkHZlLr7IQ,l0ckcr4ck3r
UCEIwxahdLz7bap-VDs9h35A,http://www.youtube.com/channel/UCEIwxahdLz7bap-VDs9h35A,Steve Mould
UCET6sWl4Xcu-U8Ka9PJPrwA,http://www.youtube.com/channel/UCET6sWl4Xcu-U8Ka9PJPrwA,DW Documentary وثائقية دي دبليو
UCEaxX1yQlFPmAKbE6AFpBWQ,http://www.youtube.com/channel/UCEaxX1yQlFPmAKbE6AFpBWQ,Thánh Chế - Mr Hồ
UCEn3fRj2e0mpqYsijxnzayg,http://www.youtube.com/channel/UCEn3fRj2e0mpqYsijxnzayg,Xyla Foxlin
UCEszlI8-W79IsU8LSAiRbDg,http://www.youtube.com/channel/UCEszlI8-W79IsU8LSAiRbDg,John Michael Godier
UCEszqJb1FjYisBevHBIof3g,http://www.youtube.com/channel/UCEszqJb1FjYisBevHBIof3g,Prof James Ker-Lindsay
UCFH4dWqQQOYkyJZUGT4q5pg,http://www.youtube.com/channel/UCFH4dWqQQOYkyJZUGT4q5pg,Warped
UCFVXdB6Y3GTYQRIwyZeBdeg,http://www.youtube.com/channel/UCFVXdB6Y3GTYQRIwyZeBdeg,NASAhistory
UCFbiS45PTeP5ZuuqP1gXGrQ,http://www.youtube.com/channel/UCFbiS45PTeP5ZuuqP1gXGrQ,CheezyFlakes
